,base_text,tweet_class,pred_class
27968,"@pheaseyviews @GuardianWMP @Chris_Boardman @WMPTIU Hi there. We try to keep the public informed as much as possible, via our social media and through the local media. Not sure if you saw we issued an update earlier this week on the sad death of the cyclist in Tipton.",2.0,1.0
42291,Update on investigation into wanted man Jack Shepherd,1.0,3.0
8847,@commonsenseFFS At present we have 44 people in custody including three women and three juveniles.,2.0,1.0
32118,Leeds United Football Club Supports Campaign to Tackle Knife Crime,2.0,1.0
26327,"Don't miss PCSO Aisha Mitchell speaking with @theemmabritton tomorrow morning about how we are tackling bicycle thefts with our @bikeregister bike marking events.

 @bbcrb
7.30am   

Read more about our bike marking events",1.0,2.0
28660,"Chief Constable Andy Marsh is due on @bbcpointswest &amp; @itvwestcountry later after his community impact statement was read out at the sentencing of a 28-yr-old Bristol man who attacked 2 police officers, leaving one with an injury needing 14 stitches. More:",2.0,1.0
36264,Welcome! Want to get involved in Street Watch where you are? Find out more here:,1.0,2.0
31248,Don’t miss @JuliaCauston report on @bbcpointswest tonight reviewing how #OperationRemedy has performed in its first 6 months. Read the full story -,2.0,1.0
11250,"We'd like to thank a witness  after a call reporting suspicious behaviour around cars in Portishead led to two arrests.

PS Peter Rooke said: ""Tackling vehicle crime is a priority &amp; we're grateful to the witness who took the trouble to call.""
More:",2.0,3.0
27184,"Our officers are on-hand to ensure both sets of supporters are able to enjoy tonight’s match without disruption. If you have any concerns, please don’t hesitate in speaking to any of our team present around the ground #MCIMUN #MCFC #MUFC",1.0,2.0
237,"We hope you’ve enjoyed a glimpse of the day’s events from #Trafford today - with dozens of incidents attended across the borough.

A £3k haul of drugs, keys, a recovered car stolen from #Stockport and the subsequent arrest of a suspected burglar are the pick of today’s outcomes",2.0,1.0
14710,"The incident at Nightingale Grove #HitherGreen has now been resolved. A man, aged 30s, was brought safely from the address. He was arrested on suspicion of affray and is now in police custody. No persons were injured.",1.0,3.0
20864,#Statement | We stand alongside those who are appalled by the way George Floyd lost his life.,1.0,2.0
34560,A man was arrested early this morning in connection with the murder of woman in #Beckenham. Read more:,1.0,3.0
5268,"We’ll be out and doing extra patrols to keep our communities safe too. If you need us, call 999 in an emergency. Otherwise call 101 or report to us online: 

Let's enjoy the final safely, together.

Come on, @England! 

#ItsComingHome #ThreeLions",2.0,1.0
11979,"Latest News :  UPDATE: Further Arrests Made In Murder Investigation: Ripon Avenue, Fartown, Huddersfield #police",1.0,3.0
26240,For all of you who missed the #TrafficTakeover of the main WMP Instagram &amp; Twitter accounts yesterday here’s a summary of what they got up to... Please follow them on @Trafficwmp for more. PART 2,1.0,2.0
28707,"Officers were called to reports of a disorder in the #Bullring.
We were called just after 3:30pm to reports of people being injured near the rear entrance of #Selfridges. Two people are being treated for injuries which are not thought to be life-threatening.",1.0,3.0
12747,"A man who died in a collision in #Quinton last Friday has been named as Nicholas Brown.  

Mr Brown was struck by a VW Golf in Hagley Road West, on the into city carriageway between Wood Green Road and Stanley Road at around 10pm.",1.0,3.0
38034,#SriLankaAttacks - Counter Terrorism Command appeal for images and video captured by witnesses who have returned to the UK from Sri Lanka following the terrorist attacks on 21 April.,1.0,3.0
7933,"Shortly before 6pm a woman's body was found off Pennywell Rd, Bristol.

While formal ID hasn't yet taken place, we believe it to be missing Fabiana. Her family have been informed.

The death is not being treated as suspicious and we're carrying out enquiries for the coroner.",1.0,3.0
4205,"Our @CadetsWMP scheme recruits recruits 13-17 year olds, teaching them about policing, giving them the chance to volunteer in the community and learn new skills.

We also recruit adults to lead them.

Want to get involved? 

Here's how",1.0,2.0
1051,"""Overall, it’s been a really positive experience, especially as it's motivated family, friends &amp; colleagues to register with @DKMS_uk. There is a shortage of Black &amp; Asian donors so I’d like to encourage everyone to consider signing up.""

Find out how",1.0,2.0
1463,"We can’t wait for you to join us Harvey! 

 If your child is interested in joining the police - see how they can also join the cadets here   @CadetsWMP",2.0,1.0
8376,"They suddenly spot a Vauxhall Corsa and an Astra speeding round a traffic island and onto the Black Country New Road.

The Astra makes off so officers follow the Corsa, hitting 109mph as they catch up with it.

But the driver refuses to stop.",1.0,2.0
36102,"Detectives investigating the murder of missing #Dudley woman Julia Rawson have found a body. The discovery was made in the #Tipton area on Wednesday by specialist officers who have been searching for Julia, 42. More on this here:",1.0,3.0
10441,"#ITSNOTOK | Elina thought her story of sexual abuse when she was young at the hands of a relative wouldn't be believed.

She was wrong.

As part of @itsnotok2021, Elina (not her real name) told us how she found the strength to speak up and get the justice she deserved.

Watch",1.0,2.0
31703,"A Just Giving page has been set up by an @OFFICIALWMAS paramedic.

For those that would like to donate, please visit",1.0,2.0
41216,"Your information could help us bring justice to Billy's family, who are still heartbroken at the loss of their son &amp; brother. Billy's mum said: ""I pray that someone has the courage &amp; strength to come forward to the police to help my family find some peace in all this sadness""",3.0,2.0
18469,"We've launched a murder investigation after a man was fatally stabbed in #Birmingham last night (Tuesday).

We were called to the @CrownePlaza hotel at 7.20pm where a 20-year-old man was found with stab injuries. One man has been arrested.

Read more",1.0,3.0
28612,A man has been jailed following a serious collision in Manchester City Centre.,1.0,3.0
27211,#Watch | Mother of Louis Brathwaite issues fresh appeal on 12 year anniversary of the fatal shooting of her son,1.0,3.0
20851,Two people have been arrested following a fatal collision on the M62 last week.,1.0,3.0
8019,#CHARGE | Three men have been charged following a shooting in #Hackney in Nov 2020. A 32-yr-old woman was injured during the incident and continues to receive treatment.,1.0,3.0
5132,"Been in a collision where no one was injured but the other person drove off? 

  If you got their reg, you can report it directly to us online without having to wait in a queue

 Report it now, or get advice on a huge range of topics on our website",3.0,1.0
4498,️ Looking for something for the kids to do this summer? Head over to the #Safe4Summer website for loads of activities for young people to enjoy during the summer holidays   #SummerSafe,2.0,1.0
27707,@oldwolf1887 @AndyBurnhamGM Officers have located this individual. Thank you for making us aware.,2.0,1.0
15206,"Teams across the force are being briefed ahead of our patrols this evening.
We’ll be out engaging with people about the restrictions and responding to your calls  about any breaches.",1.0,2.0
42246,@dcwhillcrest Thanks David,2.0,1.0
40310,@NNTrainingOps @JRW_1985 @firearmsWMP Uh oh! Call the grammar police!,2.0,3.0
39690,"Harrowing 999 call released of 77 yr old Maureen Whale, who sadly died following a burglary at her home in #Barnet last December. 

Her niece, Gina said ""Our aunt was a fiercely independent woman who should have been safe in the home. No-one deserves to die in this way""",2.0,3.0
20255,"UPDATE | Detectives investigating the murder of Oluwamayowa Adeyemi, known as Samson, in #Hackney have made a third arrest as they renew appeals for information on a vehicle believed to have been used by the suspects. 

Read more:",1.0,3.0
6629,"#NoPrideInDomesticAbuse | Today's we're supporting LGBT+ Domestic Abuse Awareness Day. 

Everyone deserves a life free from abuse and violence. 

Tap below to find out more, and how to get help if you're in an abusive relationship.",1.0,2.0
32641,@Rjephcote Hi there. Here's the link for you. Hope that helps.,2.0,1.0
34896,"Please stay tuned for updates &amp; keep an eye on the local news &amp; follow @HighwaysSWEST @BristolCouncil @SGlosCouncil @FirstBSA for traffic &amp; travel updates. 

If you're planning to travel through the city centre tomorrow, you may want to consider alternative arrangements.",2.0,1.0
42408,"In our latest #MinuteOnAMonday, Force Crime Prevention Officer @WYP_LKeyworth  details how best to deal with bogus callers on your doorstep. 

Was this information useful? Retweet this video to your followers and let's spread this vital crime prevention advice as far as possible.",1.0,2.0
