,base_text,tweet_class
31628,"The busy 46-year-old mother of six definitely proves that you can have it all, a rewarding career and a family.",2
24556,"""Some of the things in the advice are not in the law. We've had calls saying 'my neighbours have had people round and they're doing work and I don't think that's necessary'. We're not going to be able to police all these issues."" #COVIDー19",100
2761,"@Lizzy_Muir Hi, Liz. Not sure if you've seen our other message, but could you drop us a DM with some details please? Thanks.",2
19610,"@AndySolihullred @StAlphegeWMP @SHPartnerships @AndySolihullred @StAlphegeWMP @SHPartnerships Hi, Andy. Can you get in touch with us via Live Chat on the link below so that we can take full details from you? Thanks.",1
9104,"#24HoursInCustody | We’re going behind the scenes for a 24-hour live event at our busiest custody facility to give an insight into life behind bars in our cell block.
 
From 8am on Friday (19 March) we’ll be tweeting live from Perry Barr custody facility.",1
15558,"We’ve just been to a social club in south Birmingham where there were reports of a big gathering.

 We had a walkthrough and found no issues. 

 Last orders were called at 9pm, as ahead of 10pm’s closure.

 We explained why we were there, and the manager thanked us.",1
19390,@OFFICIALWMAS can you please RT this?,100
5294,"Detectives @sciuwmp are appealing for anyone who has any information in particular anyone with dash-cam footage to please get in touch.

Quote log 3128 of 9 July. Alternatively email FL_COLLISION_INVEST@west-midlands.pnn.police.uk.

More",3
38010,@TedRyan22 @BhamCityCouncil Hi there. You can get some more info on what you can do about this right here:,1
1957,"Our #MemoryMan is making headlines internationally.

 Since joining WMP in 2012, PCSO Andy Pope has identified more than 2,000 suspects.

 He can remember faces for years and has spotted offenders on buses or while patrolling the streets after seeing their faces on CCTV.",2
37885,Brilliant to see Street Watch popping up everywhere. Here's how you can get involved,1
24182,"@jennyvonne790 Hi Jenny, 

Sorry to hear about this. Can you please visit our website and speak to the team on Live Chat? They will be able to look into this for you. Thanks.",1
13965,"The offenders are white men with Irish accents. They're stealing cash from pensioners.

We believe they have struck at least 15 times in #Walsall #Wolverhampton &amp; #Sandwell recently.

Also use a small white van and a black VW Golf GTi.

Pls share our warning",1
15058,@begusap Hi there. Do you want to get in touch with us to tell us what's happened? You can use the Live Chat tool at,1
10294,"There's no set retirement age we have experts working in the department aged between 18 - 70!

#Forensics",1
23933,@xctrainman @ContactWMP All places of worship we are aware of have been closed since the measures have been introduced. They have been working with us during what is a difficult period for their establishments and we thank them for their support.,2
21789,@Andy_Newc Do you need assistance with something?,2
23282,@FixMyBrokenMac Hi there. Sorry to hear you've had a bad experience.  Can you get in touch with us so we can look into this for you?,2
21402,"#CHARGED |We've charged a woman after the contents of a charity box were stolen at the Queen Elizabeth Hospital Birmingham's Cancer Centre last Wednesday (20 May).

Read more on this here:",1
40035,"Unfortunately due to circumstances out of our control, our 101 telephone lines are facing technical issues. 

We urge members of the public, where possible, to report non-emergency crime via live chat at  anytime between 8am and midnight.",1
3049,"If you're in #Birmingham this evening, you'll see that the library has been turned blue. This is to remember officers who have died in the line of duty. It was part of National Police Memorial Day #NPMD21 Full details:",1
1584,"Have you visited #WMPOnline?

 Report non emergency crime online 
 Get help by talking to an adviser on live chat 8am-midnight 
 Track the progress of your case

Remember: If it’s not 999, search: @WMPolice Online. 

Report here",1
8386,"A 24-year-old man was arrested on suspicion of violent disorder and remains in police custody.

An investigation is underway and detectives are appealing to anyone who has any information to get in touch via live chat or  by calling 101 quoting log 4570 of 31/3.",3
22615,"#DiaryOfAKeyWorker | Dawn Willis takes 999 &amp; 101 calls. She has an underlying health condition so is currently working from home. Dawn is happy that she can do the same job but in a different location, with the same IT systems &amp; support from colleagues.",2
26653,"#TalkingStalking | You don’t know them but they act like they know you and now they won’t leave you alone. It’s got obsessive and you don’t know what to do about it.

We can help - check out our stalking pages for advice.",1
2187,"If you are required to travel to court to give evidence, you have the right to claim certain expenses. 

 If your property is seized as evidence, you have the right to have it returned to you as soon as possible.",1
41071,"@JaneTyler4 @brumpolice Hi Jane, appears to be an A4 piece of paper with a deaf sponsorship logo",2
36626,M6 CRASH: We're appealing for witnesses and dash-cam footage following a very serious crash on the M6 on Thursday at 3.30pm. It was southbound just before the M5 junction. A driver suffered life-changing leg injuries. Can you help? More here:,3
17085,"Tracy provides a high visibility presence in the town, gives crime prevention advice, delivers schools inputs &amp; runs 2 Junior PCSO schemes.

""It’s hard to believe I’ve been here 15 years; I still get a buzz from it.""

We’re recruiting. Come and join us",1
40640,@griffly16 @WMerciaPolice Hi there. You can submit cam footage of incidents here:  Hope that helps.,3
40012,"Detectives investigating the death of 16-year-old Abdullah Muhammad have arrested a #Walsall man on suspicion of his murder.
The 19-year-old is in police custody for questioning about the fatal stabbing in #SmallHeath on Wed 20 Feb.",1
18417,"Tonight one our @WMPDogs teams has been joined by a student officer who is learning about the dog unit. In order to show her what our dogs can do, he demonstrated a search with PD George.",1
2951,"#JAILED | A man's been jailed today for racially abusing @WBA's Romaine Sawyers online after an investigation by our football hate crime officer.

@StuartWardWMP launched an immediate investigation after being alerted to the offensive post. 

More",1
37084,Ever wondered what it's like out on patrol with our Armed Response Vehicles? Take a look behind the scenes of this late shift....,1
25144,@coops2611wwfc Please call 101 or use Live Chat at  to report this. Thank you.,1
20212,"#CHARGED | A Premier League footballer has been charged with driving without due care and attention, and failing to stop at or report a collision.
Jack Grealish is accused of the offences in Waterside, Dickens Heath, Solihull, on Sunday 29 March:",1
19784,"We've rescued #ModernSlavery victims from all walks of life - men, women and children, although many are from minority groups.

 Report your suspicions: Call the Modern Slavery Helpline - 08000 121 700 Speak to us on Live Chat at",3
19567,Over £7m cash and more than 200kg class A drugs have been seized by @ROCUWM as part of a national operation to smash thousands of criminal conspiracies. It came after an international law enforcement team cracked the encryption of communication platforms used only by criminals.,1
9758,"#JAILED | A car key burglar who targeted two homes over two nights has been jailed thanks to officers’ swift actions. 
 
Hamza Javed was arrested within hours of committing the second burglary by our fast responding officers.

Get the full story",1
17438,"This is Harry Conquest - he's one of our newest Special Constables.

On his very first shift with WMP he detained a man and found thousands of pounds worth of cocaine and £5000 in cash.

Full story",1
18425,Lates is becoming very busy with multiple requests across the force for @WMPDogs. One of our handlers has located a stolen  this evening which has been safely recovered for its happy owners.,1
13443,"#WATCH | New footage shows how we pursued two armed robbers after they struck at a supermarket, as they began jail sentences today.

Get the full story",1
33191,"#THANKYOU | A massive thank you to everyone who shared our appeal in relation to an attempted carjacking in Oakland Road, Moseley in July.

Your response has been invaluable to our investigation and we are working on various lines of enquiry.",3
15218,@OpalgirlKim @KennyBellWMP @OpalgirlKim @KennyBellWMP Hi there. This website will be a great resource for you.,1
17699,@SKYWALKER1507 @SKYWALKER1507 Hi there. Parking fines are dealt with by councils. We will only issue tickets if a vehicle is obstructing the highway or posing a danger to others.,1
15164,"We take racially aggravated crimes extremely seriously, and our enquiries continue. Anyone with information has been asked to get in touch with us via Live Chat, 101, or Crimestoppers anonymously on 0800 555 111. Quote 20SW/240154T/20.",3
34235,"JOBS | Our latest recruits have just started their journey to become fully fledged police officers. How do you fancy joining them?

It’s an amazing career where no two days are the same.

Find out more about how to join, here:  #policefamily #wmpfamily",1
8136,"@Zah33rAkbar @HodgeHillWMP @Diane4HodgeHill @CllrMajid @Zah33rAkbar @HodgeHillWMP @Diane4HodgeHill @CllrMajid Hi there. We can't take reports via social media, but you can get in touch with us via live chat at",1
16904,"#APPEAL | Do you recognise these men?

We want to speak to them following a burglary in Griffiths Road, #WestBromwich on Monday (24 Aug). 

The pair made off with a large quantity of cash &amp; jewellery.  

If you recognise them, contact us quoting 20SW/203328T/20.",3
13215,"#APPEAL| We want to speak to these two after staff were abused at Tesco Express on Chester Road, #Walsall between 10pm – 10.30pm on Saturday 31 October.
 
A man who was shouting and swearing punched a screen at the counter, causing it to shatter.

Crime ref: 20WS/267615R/20.",3
2547,"@MANJKSIDHU @mcneil_tom @SimonFoster4PCC @Asha_Mattu @SikhWomensAid @sahdaish @DaveThompsonCC @patmcfaddenmp Hello Manj, are you able to send us a DM with the information around this case please so we can get someone to have a look. We will need a log number if you have one, or a date and location. I have just followed you so you are able to send us a message. Thanks",2
17652,"@Bluewurst1875 @AVFC_WMP @Bluewurst1875 @AVFC_WMP Hi there. We can't take reports via social media, but please get in touch with us via  and choose Live Chat. Thank you.",1
10030,@Jmhcobbler @Albion_Rover Hi there. These messages are from one of our PCSOs and they've gone down really well with the families in #Coventry that have had them. There's a full story here.,2
25818,"Just time for a victory lap to round off the show. Hope you’ve enjoyed our updates from @WMPDogs at #Crufts. We’re all weekend, so come and say hi!",2
23965,"@SoloDrivingWM Hi Judith, 

As you can appreciate we are really busy at this moment in time. If you wish to make a report of potential breaches complete this form. Thank you",1
34539,"@mndassoc The single can be downloaded for £1 from iTunes and all major music stores. 

Click here to download NOW (link:",1
14854,"#CountyLines: We've teamed up with @StGilesTrust to help children we suspect are being groomed to run drugs across the UK.

West Mids teens have recently been found in #Merseyside &amp; #Scotland. 

St Giles can help them escape County Lines gangs. More",1
17449,"#RECRUITMENT | Can you offer the hand of friendship when others turn away?

Maybe policing is for you.

Our officer saw through Tash’s tough act and helped her to get away from a life of abuse.

We need your skills. #Youremadeforthis

Find out more here",1
8863,"#24HoursInCustody | We've had some Q's about food. Our guide is that meals should be provided at recognised meal times, 3 meals a day.

But we also provide food on request as people come into custody 24/7 so no hard and fast rule.",1
25849,"@nixy72 @Crufts @WMPDogs Yep, we’re here every day! Come and say hello",2
24972,"We're still out there around the clock fighting crime, but our mission to help those in need is more important then ever. @TaskforceWMP met a woman, 93, who'd lost some support because of #covid19, so stopped off briefly (at a distance) to lend a hand. #StayHomeSaveLives",1
1087,"@Coventry_Police We launched an appeal on 1 November, after we were alerted to Anthony’s disappearance, and we called on the public for help in locating him. 

Our appeals were shared far and wide and for that we are really grateful. Your shares really do help.",3
14725,"#WATCH | These are the moments we broke up another illegal rave in Walsall last month, and the man who rents the unit was fined the £10,000 superfine  as we continue to deal with these dangerous events. 

Read more here",1
5425,"Hi, he shot his brother while trying to shoot Douglas, therefore in law as he intended to cause serious harm or kill, when he fired that shot, he is ultimately responsible for that act.",1
17060,"#APPEAL: We're appealing for witnesses after a #Coventry pub doorman was hit over the head with a brick.

Happened outside the Oak Inn, Far Gosford St, at 12.45am today.

Victim critically ill in hospital. Did you see anything?",3
30870,UPDATE: Choudhary was jailed for life with a minimum term of 27 years at Birmingham Crown Court today on Friday 1 November,1
5140,"It’s a nightmare when you’re burgled. 

 Make things easier for yourself by reporting it directly to us online and skipping the queue.

The same goes for:

 Theft

 Criminal damage

 People leaving without paying at restaurants, petrol stations or from taxis

Start",1
3422,Isnan has links to #Coventry - have you seen him?,3
12396,"""We do recognise the right for a peaceful demonstration, but the traffic is now causing issues for emergency vehicles and other motorists.
 
“Please be mindful of other road users. Our officers will take the appropriate action where necessary.”",100
141,"If you’re enjoying grabbing a bargain this winter, help us keep you safe by watching out for anything out of the ordinary. 

Safety costs nothing. 

Report with ease at   
 #ActionCountersTerrorism",1
6645,"#NoPrideInDomesticAbuse | Today's we're supporting LGBT+ Domestic Abuse Awareness Day. 

Everyone deserves a life free from abuse and violence. 

Tap below to find out more, and how to get help if you're in an abusive relationship.",1
10393,"We've taken part in the second series of 'Forensics: The Real CSI' which highlights the crucial role of #forensics in solving serious crimes. 

 You'll be able to learn even more about our highly-skilled staff in the coming weeks. Stay tuned!

More",1
10976,"We are urging anyone with information to contact us via Live Chat on our website or by calling 101. Information can be given via our dedicated portal on  or anonymously to @CrimestoppersUK.

Any information could be vital to helping with this investigation.",3
29160,"ARRESTS: We've arrested two people in Birmingham today (13 Dec) on suspicion of terrorism offences. 
A 25-year-old man and a 23-year-old woman were arrested in the city on suspicion of the commission, preparation or instigation of acts of terrorism:",1
16598,"We are re-launching our Prince’s Trust team programme and are now asking young people to come forward and show their interest.

Completion of this course offers the opportunity to gain a nationally recognised qualification. 

More:",1
13391,"@psh52 Hi, Paul. We arrested him soon after and he's now awaiting sentencing. 

Full story here",1
12995,@richardwjones @leoniedelt Please see our latest tweet on this,1
34164,".@MikeOHaraWMP is explaining how Police Now is helping recruit the best and brightest minds, and how policing is a job like no other. “You will be the rescuers of many at their darkest times. Never think the public are not behind you.” #wmpfamily #policefamily",1
21621,"We gained our first full Stalking Protection Order (SPO) at Birmingham Magistrates Court earlier this week. 

 The order was made against a 39-year-old man from Sutton Coldfield who cannot be named at this time for legal reasons.",1
2903,@SteveDallaway @SouthsideDist @BrumLeader @ShabanaMahmood I have the crime number now and have chased officers to get in touch with Matt.,2
6610,Pop quiz Line of Duty fans... PWITS?,2
34635,"Six jailed for smuggling cannabis from overseas in couriered, cardboard-boxed packages into luxury #Birmingham apartments:",1
11174,"#UPDATE | A number of arrests have been made following a planned protest in Birmingham city centre today (16 January).  

Read more here",1
30979,"DI Jim Colclough said ""This is another tragic example of the consequences of carrying weapons. Mr Hussain's family are devastated by his death and it leaves four young children without their dad.""",2
24019,@BordesleyWMP @Gangs_WMP Aww how lovely!,2
22462,"@richard_coad If this parking is causing an obstruction in the road please call us on 101 (999 if it's posing a serious danger). 

If you want to report a potential breach of the current lockdown you can do so online.",1
41078,"#JAILED| This is Darren Ogom, a crack cocaine addict whose dangerous driving led to the death of much-loved PCSO Holly Burke. Today he has been jailed for nine years. Details here:",1
34858,ROAD CLOSED: College Road in #Kingstanding is currently closed due to a police incident. Please find an alternative route home. More on this here:,1
22985,"However if you do have any information, mobile phone footage or dash-cam footage , we'd urge you to get in touch by calling 101 or via our website as soon as possible as this could assist us as our investigations continue.",3
20584,"@nikisha_paige @Coventry_City Hi Nikisha, Our full statement can be found on our site.",1
8835,"@accessstratford @LanguageLine @BritishSignBSL Yes, we do use Language Line.",1
12799,"The family of Mr Brown said: “Nicholas was a loving son &amp; brother, a much loved husband and a devoted father to his sons. He was tragically killed as a result of a road traffic collision on 27 November 2020. 
 
“As a family we ask that our privacy is respected at this sad time.”",2
36117,"Please Retweet | Do you know the people in this thread? 

️ We want to trace these men following disorder before and after the #Blues vs #Villa derby.

There were pockets of trouble involving fans of @BCFC and @AVFCOfficial on 10 March 2019.

@BCFC_WMP @AVFC_WMP
#BCFC #AVFC",3
12069,"We know, this year more than ever, the holiday season can be a difficult time for people. 

#Mentalhealth support is available 24/7 for people in #Birmingham &amp; #Solihull.

If you need support, don't wait to get help.  

Free and confidential support is available.",1
20769,"#VolunteersWeek | Special Chief Inspector Lee Aldrich has been volunteering with us for 15 years. In his day job, Lee is a partner for a firm who've been providing medical equipment for the NHS &amp; medical facilities during the #Covid19 pandemic.

More",1
11429,"#GUILTY | Two men, Ian Knowles and Ismaila Mohamed, have been found guilty of the murder of a #Birmingham pensioner. 

Robert Morrison tragically died after contracting pneumonia, six days after being robbed and assaulted by the pair. 

Read more here",1
130,@dazmahon62 Thank you Darren. Merry Christmas,2
21053,".@IanGreenWMP ""We’re taking this action to get the message out that these illegal gatherings are completely unacceptable. Lives are being put at risk, residents are having to put up with intolerable noise, &amp; our time is being taken away from helping &amp; protecting the public..",2
30582,We're aware of reports circulating on social media tonight claiming that a @Wolves fan has been stabbed ahead of tonight's #WOLSLO game. This is NOT true. Please share. #wwfc #wolves,1
39114,"Mr Kellengbeck, 24, who leaves behind a daughter aged two, was found with critical injuries when police were called to Arran Way just after 11.15pm.",1
10019,"Knife crime is truly devastating. Our thoughts remain with the family of this young boy 

#forensics",1
22061,"@EverardDeRos Hi Everard, thanks for your tweet. We are aware of this incident and are investigating. Thanks.",2
6843,"@singtothetune Hi Catherine, thanks for your message. I have just DM'd you.",2
25851,"@toniholmes @Crufts @WMPDogs Ahhh, afraid not .  You could take a look at how you could become one of our puppy fosterers though!",2
9968,"He was wearing a black jacket, black bottoms and black trainers.
 
Christopher has links to #Dudley and #Birmingham and anyone with information on his whereabouts is urged to contact us via 999.",3
36185,"If you’re heading to @GodivaFestival in #Coventry this July #BeSafeBeSound 

 Be patient with security checks and staff
 Report anything suspicious to security
 Enjoy the festival 
 RT to share the message

For more info:",1
2339,"@GalopUK is a national LGBT+ anti-abuse charity which supports people who have suffered homophobia, transphobia and other forms of abuse. 

If you don’t feel comfortable reporting abuse directly to us, you can report it to True Vision online.",1
34819,Two great finds for @Gangs_WMP as we keep up the pressure on organised crime groups in #Birmingham,1
16935,"#CHARGED | A man has been charged after £78,000 of cocaine was recovered from a flat in the Jewellery Quarter on Tuesday (25 August).  

Read in full here",1
26208,"#GUILTY | Richard Newing has pleaded guilty to manslaughter and arson today (25 February) after Malcolm Turner was killed in a fire in Coventry last year. 

Read more here",1
8390,"@kirstiebrookes @Trafficwmp @kirstiebrookes @Trafficwmp Hi, Kirstie. Sorry to hear you've had a bad experience. Do you want to get in touch to tell us more?",2
33055,"@BellyDaydream Hi Helen, 

You can apply without a degree, however you will instead train and study to achieve a degree in Professional Policing Practice alongside all your policing training",1
22034,"If you see Cheryl, please call us on 101. #Sandwell",3
16799,"""We do not wish to see this distressing footage. These are difficult times for us and we hope people can show compassion towards our feelings.""",100
18895,"#CHARGED | A man and woman have been charged following the death of a woman in #Solihull at the weekend.

Kerry Woolley, 38, was found with fatal injuries to her neck at her flat on Warwick Road, at around 3:20pm on Sunday (12 July). 

Read more here",1
19631,@Hamiddd24 @walleylfc88 @birmingham_live @GrizzKhan Thank you. We are aware of this video and are investigating.,2
23735,"@Leather_VVings Hi, Thanks for your tweet. You can report this to us online via our website  Thank you.",1
20744,"PLEASE SHARE | @RSPCA_official are appealing for info to help find the person responsible for beheading a dog and severing her front leg.

Hollie was killed and left to be found by her distraught owner. Info? Call 0300 123 8018.

More",3
9990,"Copeland is also wanted on suspicion of witness intimidation.

The independent charity Crimestoppers is offering a reward of up to £1,000 for information that leads to the arrest of Copeland. They can be called on 0800 555 111.",3
1399,"@robkewley77 Hi, Rob. We worked closely with the victims and their families to take their views into consideration when preparing this footage. We felt it was important for people to see what happened that night, and how we got justice for the victims.",2
20411,"@JohnDG_ The purpose of a public hearing is to show that our disciplinary system is open and transparent. It will demonstrate that we do hold officers who breach the standards of professional behaviour, or those where misconduct is found proven, accountable for their actions.",2
9735,Our thoughts remain with the family and friends of Sayed . We hope the diligent work of @ForensicsWMP and @DetectivesWMP  to secure justice has provided them with some comfort #forensics,2
9074,"#ARRESTS | We made six arrests, seized four cars and recovered four knives in the space of just two hours during a busy night for our traffic patrols.

Read all the details here",1
3122,@WMPDogs @GuardianWMP @TouchWood Well done!!,2
35594,#MISSING Please RT: Muzzammil may have travelled to #Birmingham. Anyone with information please call @MerseyPolice on 101.,3
37134,"Equally, we will act where people seek to exploit these matters and break the law.",1
19460,"@CorruptCoventry @HarwoodhallJ @CovPolice2021 @Coventry2021 @Coventry_Police @coventrycc @martinrreeves @DaveThompsonCC @HelenKirkmanWMP @MikeOHaraWMP @kerryblakeman Hi, 

We're sorry to hear that you are dissatisfied with the service you have received. If you wish for our Professional Standards to investigate this matter please visit this page. Thank you.",1
33016,A rapid response traced the car to an apartment on Newhall St in Tipton less than an hour later and the 22-year-old was arrested on suspicion of attempted murder and drink-driving - he remains in custody. Great work by our officers and we wish our injured PC a speedy recovery.,1
11626,"Despite the demand, our waiting times to book people into custody are the lowest in UK policing.

And we've led the way in introducing virtual court hearings with 1,200 suspects 'appearing' in court via video link from our cells in the 3 months to the end of Nov.",1
16930,#MURDER | A murder investigation has been launched after a 22-year-old man died in hospital this afternoon after shots were fired in #Lozells  One man has been arrested but we are looking for others thought to be involved. Did you see what happened?,1
646,"Sex without consent is rape, if she’s too drunk to say yes she means no.

Find out more",1
13606,"We're out and about on public transport to make sure people are wearing #facemasks.

 Unless you're exempt, the law says you MUST wear one on buses and trains.

 It's great to see people getting the message, and doing their bit to keep others around them safe.",1
40071,"Need to report an incident? If you have info about a knife crime that you want to pass on anonymously, without sharing any personal details, without fear of judgement, then you can do so by visiting:  #knifefree",1
5828,"Kimani's family have paid tribute to ""a jovial, loving, caring, kind young man.""

More",1
21611,@maxindien @metpoliceuk @TellMamaUK To report a crime you need to call us on 101 or use the Live Chat service on our site,1
23592,"Our #Sandwell officers have come up with an idea to do their bit in supporting the NHS.

The brave #Oldbury team are going to shave their hair off next week as their way of thanking front line medical workers.

If you wish to donate visit:",1
447,"@Lisa030609 Hi, Lisa. Sorry to hear you had issues with Live Chat.
Would you be able to drop us a direct message with a few more details on the issues that you had so we can investigate?",2
1603,"#APPEAL | We're appealing for information following a collision between two cars in Winson Green Rd, #Birmingham at around 4.20am this morning. 

Six people have been taken to hospital, two people with serious injuries.

More",3
34364,"WOW! Our Live Chat crime reporting service turns  today 

In the last year @WMPContact have dealt with 120,972 chats, in addition to thousands of 101 and 999 calls.",1
6883,"#JAILED | Tyrelle Harris was found guilty in March after a jury took just over eight hours to find him guilty of the murder of Karl Gallagher, after he pleaded self-defence.",1
10771,"#WATCH | Watch as DCI Alastair Orencas gives update on our investigation on the week anniversary of the murder of Keon Lincoln, as we arrest two more people. 

Read more here",1
250,"Fortunately the blade missed vital organs and he has been discharged from hospital to recover at home.

If you have any information please contact us via Live Chat on our website quoting crime reference 20/1961092/21.",3
6972,@shame1923 Good evening. Sorry to hear that this is happening. Can you give us a bit more information on our live chat please?,2
19272,"Thanks for your help everyone, #missing Adrian Woodhouse has been found safe and well.",3
3282,"DRIVE stands for diversity, race, inclusion, versatility and equality.

The initiative is being launched during the two-day event at The Pavilion, #PerryBarr today and tomorrow.

Students have been participating in training exercises to test and build their skills ️",1
22810,"#TakeFive | Criminals may pose as travel companies or airlines; using the cancellation of flights as an opportunity to trick you into revealing your personal or financial information. 

Contact the organisation you have made your booking with directly to enquire about refunds.",1
2687,"Our work in recent months has already identified men intent on harming women, and stopped them. Here are just some of the examples",1
23113,"#DiaryOfAKeyWorker | PC Rayhan Ahmed works on @ResponseWMP, based at Bournville Lane. His last few weeks have been slightly different due to #COVID19, but he's glad to see that most people are adhering to the advice and guidelines to stay at home.

More",2
2407,"If you chose to report a crime, you should always be provided with information.

 This might be about the process or who to contact for support.  @VictimSupport @VS_WestMidlands  #VictimsRights",1
42715,"Check out this thread posted by officers from @WednesfieldWMP who this morning cut their way into an illegal chop shop. 

If you suspect a chop near you report it to us, we’ll do the rest.",1
10293,"Hi Fizarn,

Strengths - We can offer unique evidence in support of an investigation.

Weaknesses - Complexity, often time consuming and painstaking work. 

#forensics",2
12800,"A man who died in a collision in #Quinton last Friday has been named as Nicholas Brown.  

Mr Brown was struck by a VW Golf in Hagley Road West, on the into city carriageway between Wood Green Road and Stanley Road at around 10pm.",1
358,"@Clayboned Hi there. You'll need to speak to your local neighbourhood team, so you should find their contact details if you type in the name of your area in the search box.",1
27087,@weathagirl Yes Lisa - check out our previous story:,1
2680,"It’s great to see students back and out enjoying themselves. We’re listening to what they have to say about their experiences, their safety and offering advice and support.

Follow @SaferStudents and visit the website for more information",1
7247,Good luck PD Tommy! We can’t wait to follow your journey,2
36232,"An investigation has been launched after a serious collision following a police pursuit in Birmingham.
A Seat Ibiza failed to stop for police on Middleton Hall Road, near the junction with Northfield Road, Cotteridge, at around 10.10pm yesterday (Mon).",1
20938,@Oreokicks @InkedUpSHAQ @metpoliceuk Hi there. We are aware of this video and are making enquiries.,2
2472,"We're joining the campaign to raise awareness around #VictimsRights with @VictimSupport! 

 - Under the Victims' Code, victims of crime have 12 key rights. 

 Do you know what your rights are?",1
22138,"#COMMUNITY  Our fantastic #Coventry partnerships team have teamed up with Hope Foodbank in #Hillfields to issue crime prevention and support advice to the local community.

The 'lockdown' leaflet covers a range of topics and is set to be delivered alongside food parcels",1
19357,"#ICYMI | A drug dealer who led police on a 100mph pursuit has been jailed for nearly five years 

Jack Speed  failed to stop for officers when they tried to pull him over in #Erdington in January.",1
37608,"Today our #Walsall Cadets spent the day volunteering at the @CR_UK Walsall #RaceForLife where over 1000 runners took part raising over £63,000!

Check what happened",1
6933,"Last week we featured in a documentary on menopause. 

We’re at the forefront of responding to concerns raised by women within our organisation around how they cope with these issues at work.

PCSO Kate Heatley has bravely shared her experiences.",2
198,"@UK51NGH @DaveThompsonCC @andy4wm @SCUKofficial @SikhFedUK @PreetKGillMP @SikhPA @bbcwm @bbcasiannetwork @BalvinderTV @ITVCentral @GNGSmethwick @TanDhesi Please see our statement below regarding this matter. 

You can also see the @policeconduct statement regarding their investigation here",1
14525,"#UPDATE | Officers investigating this post office robbery are now linking it to a similar robbery at the Co-op in #Meriden, #Solihull, last night (21 Oct). 
We believe the same two men entered the store on The Green shortly before 10pm, again carrying a sword &amp; threatened staff.",1
19991,@thrualensbyliz @WMPDogs @thrualensbyliz @WMPDogs awh,2
16801,"The family of Murtaza have released this statement: “As a family we are united and trying to heal, but the process won’t be an easy one. As a family not only have we lost a father, husband, son, brother, we have lost our friend and protector.",2
34889,"When the pair saw a man holding an eight-inch kitchen knife to the stomach of another man, they shouted “police, put the knife down, put the knife on the floor”. Instead, the man ran at PC McWalter holding the knife in front of him...",1
13826,"We are out patrolling across the West Midlands this weekend, disrupting criminal activity and enforcing Covid-19 regulations. 

We’re working hard together with businesses and partners to keep you safe. 

We’re here to help you. 

#StaySafe #WestMidlands",1
6136,"#ICYMI | @ACCPayneWMP, @FootballUnitWMP's Stewart Bladen and 'Mr Lozells' PCSO Rob Capella from @LozellsWMP are recognised in the #QueensBirthdayHonours. 

 @WMPolice couldn't be more proud!",2
11614,"Throughout the year we work in partnership with businesses across the country to help keep crowded places safe.

If you see or hear something suspicious, trust your instincts and ACT. Report it to security staff, police or online below.

#CommunitiesDefeatTerrorism",1
8945,"The burglary suspect was aggressive and had to be taken straight to a cell - where he proceeded to urinate under the cell door.

Towel in hand, the role of our brilliant Detention Escort Officers (DEOs) isn’t always glamorous! #24HoursInCustody",1
43253,Please see our latest statement on this:,1
16763,"This is the last of the night's updates, but our officers will be responding 24/7 to your calls over the Bank Holiday weekend and beyond.

If you need advice, or to report something to us, find out more here.",1
11238,"Q: Why does this happen

Answer:",2
417,"Visited #Birmingham's Frankfurt Christmas market yet? You'll need to be quick - there's only a few days left! Find out how we've been keeping the thousands of people safe who've already visited. Don't worry, we use these tactics in other areas too.",1
28226,Brian is still missing. We urgently need to find him to make sure he is ok. He is believed to be driving a grey 2016 new shape Vauxhall Viva reg number BP16 YFV. Call 101 with any information. #missing,3
10316,"Blood can flouresce when certain chemicals are used.

So we need to be careful when using them as they can destroy DNA.

Therefore we only use it after DNA profiling has been completed.

#forensics",1
34620,"#ICYMI: Still time to catch @bbcmtd 's policing special, with insight from @DaveThompsonCC, @JayneMeirWMP and @Gangs_WMP on everything from our response times to plans for more officers on the streets. Watch",1
16780,"@Ianperryemerge Hi, Ian. You can tell @Glos_Police about breaches here.",1
11084,@swanempower @LordIndarjit @VictimsComm @jessphillips Hi there. Could you DM us with some contact details so we can discuss this with you? Thanks.,2
20265,"They include a 17-year-old boy we found during a drugs raid in #Birmingham. 

He was referred to our ‘Exploitation Hub’ where we work with partners to help vulnerable people.

He's now being mentored, enrolled on our Prince’s Trust scheme &amp; we’re trying to secure a house move.",1
24039,"We recently prevented a pensioner being conned out of almost £8,000 when our officers discovered a scam and intercepted cash destined for fraudsters.

It’s the latest example of con artists trying to take advantage of people during the #COVIDー19 pandemic.",1
15610,"#WATCH | @ChrisJohnsonWMP retired today after 30 years serving people in the West Midlands. He saved one of his toughest challenges till last!

Chris has Motor Neurone Disease but vowed to walk 5,000 steps in his last two weeks to raise money for @mndassoc",1
3884,"#COURTS | A pensioner has been convicted of manslaughter after his wife was found dead at their #Stourbridge home.

Initially it was believed Gian Bhandal, 82, had died of natural causes, but following a post mortem her husband was arrested.

Full story",1
21369,@solbloke Glad you're enjoying them.. Our aim is to give an insight into a day in the life of Response..,2
770,"@Nino43251198 @VolunteersWMP Hi Nino, This is West Midlands Police. Worcester and Droitwich Spa fall under West Mercia police jurisdiction. Their Twitter account is @WMerciaPolice. Hope this helps",1
