,base_text,tweet_class,pred_class
20689,@Sarcasmic3 @theJeremyVine Hi there. We've made an arrest in connection with this investigation.,2.0,1.0
3872,"@Baggielee80 @Trafficwmp Hi Lee, thanks for making us aware. You'll need to send these formally using our online reporting service below. Or if you have already reported the incident, please send the photos to the officer in charge of your case.",2.0,1.0
41633,Two men arrested following the murder of a 19-yr-old man in #Battersea #Wandsworth,1.0,3.0
16130,"Remember, we all have a part to play in reducing the spread of coronavirus 

 Avoid large gatherings
  Wash hands 
 Wear a face covering 
 Keep your distance 

By following these rules, we are protecting ourselves and our loved ones",1.0,2.0
22297,"Thought about joining the Met? 
 
For Chief Inspector Dale Anderton, his last day on the job took him right back to his roots, as he ended a 17 year career chasing down a dangerous driver.

He went home remembering exactly why he joined the job.",1.0,2.0
25060,"Telephone witness statements to launch across the entire of West Yorkshire amid the ongoing #Coronavirus outbreak.

“We will be aiming to replace as many station based visits as possible, making people aware of this alternative…”",1.0,2.0
18437,Update: Further arrest in connection to attempted murder on Lower Westfield Road #Bradford,1.0,3.0
33743,"Want to come along to our Emergency Services Open Day on
Sunday 15 Sept? Then be ready on Weds 14 Aug at 10am to claim your tickets. The last release sold out in less than 10 minutes! 
More info and details of how to get tickets here:",2.0,1.0
3506,"Last month, members of our @GMPDogs Unit received a National Service Dog Award for their bravery during the Manchester Arena attack. 

Read more",1.0,2.0
14933,"@ChrisMasdin Hi Chris, Yes if you upload it anyway and it can be viewed by an officer - thank you!",2.0,1.0
7910,"#DRIVERS | We want to reassure the public following a national rise in catalytic converter thefts. 

We are aware of the problem and are working with partners to tackle this expensive and inconvenient crime.

Read more here",1.0,2.0
3892,"Last night @GMPSalford followed two of our response cops on duty as they shared some of the emergency calls they can be requested to attend in the city on a daily basis.

Take a look here  &amp; keep an eye out for more #InADaysWork features around the force in the coming weeks",1.0,2.0
10403,A man has been arrested following an incident which saw shots fired at a man in #Stockport.,1.0,3.0
3826,"#MURDER | We’ve launched a murder investigation after a man was fatally hurt while on a night out in Brindley Place, #Birmingham yesterday.

The 50-year-old was taken to hospital in a critical state &amp; was sadly pronounced dead later that day.

Full story",1.0,3.0
29075,"Latest News :  Man Arrested Over Serious Sexual Assault, Woodhouse Lane, Leeds #police",1.0,3.0
23059,"@andrewheavs  We’ve increased the number of Roads Policing motorbike patrols, with officers targeting enforcement at those committing offences at the more serious end of the scale",2.0,1.0
32616,The family of a baby boy who sadly died after being rescued from the River Irwell have paid tribute to him:,2.0,3.0
2728,"Older people can often be taken advantage of by members of their own family, who control them into giving them money. 

This is domestic abuse. 

If it is happening to you or someone you know, help is available.",1.0,2.0
25559,"Unfortunately, life has no rewind button 

Seen something suspicious? Look again 

Reporting it won’t ruin lives, but it might save them. If it doesn’t feel right, ACT.

 

#ActionCountersTerrorism",3.0,2.0
40565,"We know the fear and anger that the murders of three #Birmingham teenagers has caused. Here, @DCSPayneWMP explains what we're doing to tackle the problem, and how everyone can play their part in helping us.",1.0,2.0
24448,"@marsali22190171 Hi, thanks for your message. Our officers are patrolling the streets as normal. If they find large gatherings not complying with Government restrictions, they will make clear the importance of social distancing at this time.",2.0,1.0
34696,"Update: Protestors in Bristol have begun a march around the city. The anticipated route is going to be from College Green to St Augustine's Parade, then on to the Bearpit, around the Horsefair, Broadweir, Wine Street, Baldwin Street, and then back to College Green.",1.0,3.0
6644,GMP officers who are part of the @Police_Now National Leadership Programme describe how they have been working within our local neighbourhood teams to help tackle anti-social behaviour,1.0,2.0
4366,"What would you like to see from us on Twitter? 

Take part in our quick online anonymous survey to help shape the way we use social media.

Click below to take part",3.0,1.0
34896,"Please stay tuned for updates &amp; keep an eye on the local news &amp; follow @HighwaysSWEST @BristolCouncil @SGlosCouncil @FirstBSA for traffic &amp; travel updates. 

If you're planning to travel through the city centre tomorrow, you may want to consider alternative arrangements.",2.0,1.0
28811,"In the early hours of Friday 23 March 2018, two students – both men who were 21 and 20 at the time - were approached by three men - Mohamed Mohamed, Mohamed Suleiman and Mohamed Abdullahi - on Princess Street in Manchester City Centre.",3.0,1.0
